SS-2 0-0 BL Gazebo
ID X	  Y
1 -3.78750 36.55000
2 -3.78750 43.40000
3 -3.78750 50.25000
4 2.53750 36.55000
5 2.53750 43.40000
6 2.53750 50.25000
7 8.45000 50.25000
8 13.95000 49.99500
9 13.95000 55.00000
10 18.84500 49.99500
11 23.13500 49.99500
12 28.07000 49.99500
13 34.48000 49.99500
14 26.53000 53.65250
15 26.53000 56.67750
16 34.48000 53.65250
17 34.48000 56.67750
18 40.06000 49.99500
19 46.47000 49.99500
20 38.52000 53.65250
21 38.52000 56.67750
22 46.47000 53.65250
23 46.47000 56.67750
24 52.05000 49.99500
25 58.46000 49.99500
26 50.51000 53.65250
27 50.51000 56.67750
28 58.46000 53.65250
29 58.46000 56.67750
30 62.50000 49.99500
31 70.45000 49.99500
32 62.50000 53.65250
33 62.50000 56.67750
34 70.45000 53.65250
35 70.45000 56.67750
36 69.83000 45.14000
37 64.75500 45.14000
38 69.83000 41.18000
39 64.75500 41.18000
40 69.83000 37.22000
41 64.75500 37.22000
42 54.87000 4.26250
43 54.87000 12.78750
44 54.87000 21.31250
45 54.87000 29.83750
46 62.35000 4.26250
47 62.35000 12.78750
48 62.35000 21.31250
49 62.35000 29.83750
50 69.83000 4.26250
51 69.83000 12.78750
52 69.83000 21.31250
53 69.83000 29.83750
